word,normalized_word,dataset,original_label,video_path,original_filename,signer,split,fps,resolution,duration,license,paper,repository,download_url,sha256,phash,quality_score,duplicate_status,review_status
go,go,ISL500,go,go/go__ISL500__00167__Go__session103__clip023.mp4,Go__session103__clip023.mp4,User004,,29.58333333333333,2560x1440,2.48,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,dced3bb8676e5c8dbc7f87e48097b0b30da4fdd6c325e0bb0fe920dc334ab78d,f7e7f7f7e7c38301,1.0,unique,accepted
go,go,ISL500,go,go/go__ISL500__00194__Go__session160__clip002.mp4,Go__session160__clip002.mp4,User005,,29.58333333333333,2560x1440,3.966,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,22fb99282e2321105ef41e2c58b793321c71c5fee091ea18dab830f679fb306b,fffff3f3f3f7c0c0,1.0,unique,accepted
go,go,ISL500,go,go/go__ISL500__00221__Go__session109__clip032.mp4,Go__session109__clip032.mp4,User006,,29.58333333333333,2560x1440,4.868,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,0fa271c4d7a0da75d43a7cc1ba543cb38ac8dce008c5d4d65b34814d01a3ff93,737373736f6f4900,1.0,unique,accepted
hello,hello,INCLUDE,hello,hello/hello__INCLUDE__00566__MVI_0029.mp4,MVI_0029.MOV,include_MVI_0029,,25.0,1920x1080,2.52,CC-BY-4.0,https://doi.org/10.1145/3394171.3413528,https://github.com/AI4Bharat/INCLUDE,https://zenodo.org/records/4010759,ee17e5ad43c8d2b926c609949a67b236c05b4889d91367af4886c1aa9a88cb52,fefee6e6f6f00000,1.0,unique,accepted
hello,hello,INCLUDE,hello,hello/hello__INCLUDE__00567__MVI_0030.mp4,MVI_0030.MOV,include_MVI_0030,,25.0,1920x1080,2.96,CC-BY-4.0,https://doi.org/10.1145/3394171.3413528,https://github.com/AI4Bharat/INCLUDE,https://zenodo.org/records/4010759,1dae0bc5d76aa58e67e002949dbf16507c6bd24643602d525ba738e0356d5fbe,fefee6e6f6f00000,1.0,unique,accepted
hello,hello,INCLUDE,hello,hello/hello__INCLUDE__00568__MVI_0031.mp4,MVI_0031.MOV,include_MVI_0031,,25.0,1920x1080,2.6,CC-BY-4.0,https://doi.org/10.1145/3394171.3413528,https://github.com/AI4Bharat/INCLUDE,https://zenodo.org/records/4010759,8be6bea59145971bb708f9ec0abce9aacc26cb07a8fd9b5071feb4bad3a5faba,feeee6e6f6f00000,1.0,unique,accepted
hello,hello,INCLUDE,hello,hello/hello__INCLUDE__00569__MVI_0032.mp4,MVI_0032.MOV,include_MVI_0032,,25.0,1920x1080,2.44,CC-BY-4.0,https://doi.org/10.1145/3394171.3413528,https://github.com/AI4Bharat/INCLUDE,https://zenodo.org/records/4010759,d0dfd200a95b0094583a7e7eefbd2f228445b82d987f00ae35d85b51b0ec9e61,fefee6e6f6f00000,1.0,unique,accepted
hello,hello,INCLUDE,hello,hello/hello__INCLUDE__00570__MVI_0037.mp4,MVI_0037.MOV,include_MVI_0037,,25.0,1920x1080,1.96,CC-BY-4.0,https://doi.org/10.1145/3394171.3413528,https://github.com/AI4Bharat/INCLUDE,https://zenodo.org/records/4010759,4d7a45162aea94748f6e34f56a389ff90aa21702480a498f534dfaa63f07d61c,7f7f7767f7744080,1.0,unique,accepted
hello,hello,INCLUDE,hello,hello/hello__INCLUDE__00571__MVI_0038.mp4,MVI_0038.MOV,include_MVI_0038,,25.0,1920x1080,2.24,CC-BY-4.0,https://doi.org/10.1145/3394171.3413528,https://github.com/AI4Bharat/INCLUDE,https://zenodo.org/records/4010759,81bf4d0880977311d106d55462addfa85ffdd816eb4da7a3b24efa5b0ed853bc,7f7f7767e7644080,1.0,unique,accepted
hello,hello,ISL500,hello,hello/hello__ISL500__00087__Hello__session101__clip021.mp4,Hello__session101__clip021.mp4,User001,,29.58333333333333,2560x1440,5.412,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,4d5fbcc755a6dff0d8dcec9629e99c2fa302c611a24e1abb8995048ef8e8f7ca,e7e7e7c7c7838302,1.0,unique,accepted
help,help,CISLR,help,help/help__CISLR__00018__E91cfQBn8_4_1.mp4,E91cfQBn8_4_1.mp4,process,,30.0,300x300,3.0,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,e2014d8fb4318ffecb3b9aa50d92f935044faae1660972dd9205b33ddec9718a,00e7e6e4fe7e2608,0.85,unique,accepted
help,help,ISL500,help,help/help__ISL500__00088__Help__session111__clip022.mp4,Help__session111__clip022.mp4,User001,,29.58333333333333,2560x1440,5.687,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,ad2c0e97bbe0d40d7eb52b149b558a99959e741c3ca9bc58f1a6f83cef5de231,f7f7e78703030303,1.0,unique,accepted
help,help,ISL500,help,help/help__ISL500__00115__Help__session155__clip011.mp4,Help__session155__clip011.mp4,User002,,29.58333333333333,2560x1440,2.824,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,d74982e8005433d28deae3cd0511dcec64e31ab9694e72b25762829a308d2087,e7e7e7e7e3c3c381,1.0,unique,accepted
help,help,ISL500,help,help/help__ISL500__00142__Help__session136__clip019.mp4,Help__session136__clip019.mp4,User003,,29.58333333333333,2560x1440,5.839,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,6c1d048c4b7ceb2c5d69d2decb31291410f22da29736ee3c7e52b0a75894db04,e7e7e7e7e7474343,1.0,unique,accepted
help,help,ISL500,help,help/help__ISL500__00169__Help__session105__clip013.mp4,Help__session105__clip013.mp4,User004,,29.58333333333333,2560x1440,2.692,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,2df6010723d52d729eca879c571f3d2a601d36dbf12f009238ce8169b6a2930e,ffe7e7f7e7c3c300,1.0,unique,accepted
help,help,ISL500,help,help/help__ISL500__00196__Help__session144__clip002.mp4,Help__session144__clip002.mp4,User005,,29.58333333333333,2560x1440,4.463,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,6d8e7042f060930d2a5da4b85493443f834c1198582fbdb404ca12e680c55a64,ffffe7f7e7e2c2c0,1.0,unique,accepted
help,help,ISL500,help,help/help__ISL500__00223__Help__session110__clip001.mp4,Help__session110__clip001.mp4,User006,,29.58333333333333,2560x1440,5.871,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,262d37db3347c55c295be0f4d9e67132f76da8a67eedb2f7b6ad61852b949965,e7e7e7e7e73b1918,1.0,unique,accepted
no,no,CISLR,no,no/no__CISLR__00015__CXEDTo1PXCg.mp4,CXEDTo1PXCg.mp4,abstract,,25.0,300x300,3.12,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,f8f09ff66980d082b8dcddfcdba4be3882d370f48b0e58d25aaa6c9827efda22,ffe7ffffd3e1c1c3,0.85,unique,accepted
no,no,ISL500,no,no/no__ISL500__00092__No__session104__clip019.mp4,No__session104__clip019.mp4,User001,,29.58333333333333,2560x1440,5.32,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,e48a435ee32b92690478107342fc9aa6c6074ca28a1a35ce3fe5564adb7af422,7777774707030303,1.0,unique,accepted
no,no,ISL500,no,no/no__ISL500__00119__No__session161__clip025.mp4,No__session161__clip025.mp4,User002,,29.58333333333333,2560x1440,2.351,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,10a583b142e2f1ea1dc16c6df324028b66f67d9f5fb44302ba13d5e52707aa08,e7e7e7f7e7c3c383,1.0,unique,accepted
no,no,ISL500,no,no/no__ISL500__00146__No__session107__clip008.mp4,No__session107__clip008.mp4,User003,,29.58333333333333,2560x1440,6.678,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,d4c58ca648295899848c423927ed59c475f2b202fe63308d5d6d573f86c45340,e6e6f6decec0c080,1.0,unique,accepted
no,no,ISL500,no,no/no__ISL500__00173__No__session110__clip018.mp4,No__session110__clip018.mp4,User004,,29.58333333333333,2560x1440,2.09,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,999ba74e9af764caf73c46d4fe1bd37a99f4620b6f44594000d6a75f7a65fc99,fff7f7f7f7c3c101,1.0,unique,accepted
no,no,ISL500,no,no/no__ISL500__00200__No__session162__clip014.mp4,No__session162__clip014.mp4,User005,,29.58333333333333,2560x1440,4.305,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,4d154db359cb9c6cfc1db62f443c968d06cc1c91f8719ba279a742b5648d33b2,fffff7f7f7e7c0c0,1.0,unique,accepted
no,no,ISL500,no,no/no__ISL500__00227__No__session143__clip002.mp4,No__session143__clip002.mp4,User006,,29.58333333333333,2560x1440,5.108,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,ca9cc5f7e06b0d79b4a6b8c452465cc91ac1a37aa70899d3dc08963aa03825ab,fff7f7f7f7632101,1.0,unique,accepted
please,please,CISLR,please,please/please__CISLR__00065__iGDJKo1-w5k.mp4,iGDJKo1-w5k.mp4,action,,25.0,300x300,3.32,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,110f206cca3db05010c286bf70d6ec02310da944f41a14c0c59d35729970ab2a,ffe7dfffc3c1c1c2,0.85,unique,accepted
please,please,ISL500,please,please/please__ISL500__00093__Please__session104__clip016.mp4,Please__session104__clip016.mp4,User001,,29.58333333333333,2560x1440,5.419,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,e94affb9d2323af6f708c6934a442602f5130074310b6a2b18d01d791d060e2c,7767676707030303,1.0,unique,accepted
please,please,ISL500,please,please/please__ISL500__00120__Please__session106__clip004.mp4,Please__session106__clip004.mp4,User002,,29.58333333333333,2560x1440,2.84,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,292a5c34399658d5102bc8018dc949236bafc07f438650baac831d59db5d0c37,e7e7e7e7e3c3c2c0,1.0,unique,accepted
please,please,ISL500,please,please/please__ISL500__00147__Please__session111__clip009.mp4,Please__session111__clip009.mp4,User003,,29.58333333333333,2560x1440,6.363,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,9fcd1cfeb62346ee5d9ffa2e94feb1d243b03a1a09976f8afd943418669dec5d,e6e6fefef4c0c000,1.0,unique,accepted
please,please,ISL500,please,please/please__ISL500__00174__Please__session107__clip001.mp4,Please__session107__clip001.mp4,User004,,29.58333333333333,2560x1440,2.523,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,02faab01d4fcc4dab1855cf8004ca08c62e19e224ad9a31d25fc5f6668ec9ef3,ffe7f7f7e7c3c301,1.0,unique,accepted
please,please,ISL500,please,please/please__ISL500__00201__Please__session117__clip014.mp4,Please__session117__clip014.mp4,User005,,29.58333333333333,2560x1440,5.024,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,bb2c9097cc2e95230e0da8683d80b536019bae42c8aa5d1802389f1052fae91c,ffe7e7f7e7c3c351,1.0,unique,accepted
please,please,ISL500,please,please/please__ISL500__00228__Please__session105__clip001.mp4,Please__session105__clip001.mp4,User006,,29.58333333333333,2560x1440,5.639,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,0b5432f21e119a1e4458eb9cbde1c1e05b0986038a7363884be63be18a6b39d8,676767676f4f0302,1.0,unique,accepted
water,water,CISLR,water,water/water__CISLR__00010__5FSC6Og1RBQ_2.mp4,5FSC6Og1RBQ_2.mp4,substance,,30.0,300x300,2.6,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,3ad30d503d414b049b4c995ba35671e6c42c563dcce01ff6c07197ebc99de737,0000fff7ffffbe1c,0.85,unique,accepted
water,water,ISL500,water,water/water__ISL500__00103__Water__session117__clip006.mp4,Water__session117__clip006.mp4,User001,,29.5,2560x1440,5.185,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,2b0cdf026855d56bebeb1202c444e555f48a211e94109dd9dd69e03d91b6f0cc,f7f7e78703030303,1.0,unique,accepted
water,water,ISL500,water,water/water__ISL500__00130__Water__session158__clip023.mp4,Water__session158__clip023.mp4,User002,,29.58333333333333,2560x1440,1.863,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,b06fdd50780813c01e9de040e4d085f8767ca255f185524ae970d45ac1650e2f,f7e7e7e7e3c3c383,1.0,unique,accepted
water,water,ISL500,water,water/water__ISL500__00157__Water__session102__clip018.mp4,Water__session102__clip018.mp4,User003,,29.58333333333333,2560x1440,6.096,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,7d3964b248cc8709a72a2e0183099b3f2a3d3a3b49a01bfc26496984cab7ea1c,e6e6f7dfce828080,1.0,unique,accepted
water,water,ISL500,water,water/water__ISL500__00184__Water__session121__clip007.mp4,Water__session121__clip007.mp4,User004,,29.58333333333333,2560x1440,3.189,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,5f2b876788190c8a322b0f25868de7eb10a7096c15673310826092c5de1f4e61,f7e7e7f7e7c3c381,1.0,unique,accepted
water,water,ISL500,water,water/water__ISL500__00211__Water__session109__clip006.mp4,Water__session109__clip006.mp4,User005,,29.58333333333333,2560x1440,4.619,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,5fd3484b0f6a20352b8472f0a198a070f1107ff1835b1dc814b62fb169818336,ffe7f7f7e7c34301,1.0,unique,accepted
water,water,ISL500,water,water/water__ISL500__00238__Water__session104__clip017.mp4,Water__session104__clip017.mp4,User006,,29.58333333333333,2560x1440,5.324,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,ed2f999e8a2e6285897cd33cebb68b98ecef086f0c90c15d0f82a8ee7612762f,775757575f1f0b02,1.0,unique,accepted
yes,yes,CISLR,yes,yes/yes__CISLR__00033__LAT-u9Ww5ZU.mp4,LAT-u9Ww5ZU.mp4,comparator,,25.0,300x300,3.44,research (see HF card),https://aclanthology.org/2022.emnlp-main.707,https://huggingface.co/datasets/Exploration-Lab/CISLR,https://huggingface.co/datasets/Exploration-Lab/CISLR,89957886bed4b3e4a91c01149d6a8089308a1906d7d36c91fe26116246951086,ffe7ffefc3c3c3c3,0.85,unique,accepted
yes,yes,ISL500,yes,yes/yes__ISL500__00106__Yes__session105__clip014.mp4,Yes__session105__clip014.mp4,User001,,29.58333333333333,2560x1440,5.445,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,e749ab4cf1ace641e4ed2c2787f7c41ab8bfd7a66ed5b786493eacc13fbcd0f6,7777f7e707030303,1.0,unique,accepted
yes,yes,ISL500,yes,yes/yes__ISL500__00133__Yes__session140__clip009.mp4,Yes__session140__clip009.mp4,User002,,29.58333333333333,2560x1440,5.022,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,d33fed54d1ce329a809abaadc9d8a96d48154f94b9db689dd3adf2becf279148,ffe7e7e7e7c3c383,1.0,unique,accepted
yes,yes,ISL500,yes,yes/yes__ISL500__00160__Yes__session114__clip001.mp4,Yes__session114__clip001.mp4,User003,,29.58333333333333,2560x1440,5.04,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,7c4a8ab6b18c0ca0734f2ece74c78069dad545d1322603c49214ffbee770187b,e6e6fefec4c0c000,1.0,unique,accepted
yes,yes,ISL500,yes,yes/yes__ISL500__00187__Yes__session105__clip015.mp4,Yes__session105__clip015.mp4,User004,,29.58333333333333,2560x1440,2.647,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,6a7b959ffdef2e9fac3022faa9933457922d2f4734bd39080bec8230be9bacdf,ffe7e7f7e7c3c302,1.0,unique,accepted
yes,yes,ISL500,yes,yes/yes__ISL500__00214__Yes__session114__clip002.mp4,Yes__session114__clip002.mp4,User005,,29.58333333333333,2560x1440,5.27,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,3c21494bdac20b498521404598651f32892b8b77275c49f7e067b4ec96555370,ffe7f7d7c7c38101,1.0,unique,accepted
yes,yes,ISL500,yes,yes/yes__ISL500__00241__Yes__session112__clip005.mp4,Yes__session112__clip005.mp4,User006,,29.58333333333333,2560x1440,5.86,see HF card,,https://huggingface.co/datasets/ISL500/ISL-DATA,https://huggingface.co/datasets/ISL500/ISL-DATA,51390abb24ab1a42294972bedb0d7a29bf2a9840056fd96a87a51f70bde6e108,ff67e7e7c7c70301,1.0,unique,accepted
